178 44 7FA 7E9 6 7 7FF 7FD 7FF 7FC 7FF 1 1 1 7FF 0 
177 44 7FA 7E9 5 7 7FE 7FD 7FF 7FD 0 2 0 1 7FF 7FF 
176 44 7F9 7EA 5 6 7FE 7FC 0 7FE 2 2 7FF 1 7FF 7FF 
176 44 7F9 7EA 4 6 7FE 7FC 0 7FF 1 2 0 2 7FF 0 
177 43 7F8 7EA 5 6 7FD 7FB 0 7FE 1 2 0 1 7FF 7FF 
177 42 7F9 7E9 5 6 7FD 7FC 1 7FE 2 2 7FF 1 0 0 
176 42 7FA 7EA 5 6 7FD 7FC 0 7FE 2 3 7FF 1 7FF 7FF 
177 43 7F8 7EA 6 5 7FD 7FD 0 7FF 1 1 7FF 0 1 0 
177 43 7F6 7EA 6 6 7FD 7FF 7FE 1 1 0 7FE 7FF 1 0 
177 42 7F6 7EA 6 5 7FD 7FF 7FF 0 0 7FF 7FF 7FF 0 1 
178 41 7F5 7EB 7 6 7FE 7FF 7FF 0 0 7FF 7FF 0 1 0 
178 41 7F5 7EB 7 6 7FE 7FF 7FF 0 0 7FF 7FE 7FF 0 0 
149 7CD 14 3 7FC 7 1 7FE 0 2 7FE 7FF 7FF 0 7FE 7FF 
149 7CE 14 2 7FC 8 1 7FE 0 1 7FF 7FF 7FF 0 7FF 7FF 
14A 7CE 14 2 7FB 8 1 7FE 0 1 7FF 7FF 7FF 0 7FF 7FF 
14B 7CD 12 2 7FC 8 0 7FF 1 1 0 7FF 7FF 0 7FF 7FF 
14C 7CF 12 1 7FB 8 0 7FF 0 1 7FF 0 7FF 7FF 7FF 7FF 
14C 7CE 13 0 7FB 8 7FF 7FF 0 1 1 7FF 0 0 0 7FF 
14A 7CD 13 0 7FC 7 7FF 0 0 1 1 7FF 0 7FE 7FF 7FF 
14B 7CE 15 0 7FD 7 7FE 7FF 0 7FF 0 0 0 0 0 0 
14A 7CE 14 0 7FC 8 0 0 0 0 0 7FF 7FF 7FE 0 0 
14A 7D1 16 7FE 7FE 8 7FF 0 0 1 0 7FF 7FF 7FF 7FF 0 
14A 7D0 16 7FF 7FD 7 7FF 0 1 0 7FF 7FF 7FF 7FF 7FF 7FF 
149 7D3 15 7FE 7FE 7 7FF 7FE 7FF 0 7FE 1 0 7FD 7FF 0 
14A 7D4 14 7FD 7FF 7 7FF 7FD 7FD 1 7FF 1 0 7FD 0 0 
149 7D4 14 7FE 7FF 8 7FE 7FC 7FC 1 7FE 1 2 7FE 0 0 
14A 7D4 14 7FC 0 7 7FF 7FE 7FD 1 7FE 0 0 7FD 7FF 0 
149 7D4 15 7FC 0 6 0 7FC 7FD 1 7FE 1 0 7FD 0 0 
15A 20 E 7FB 7FB 0 2 0 7FF 7FF 0 7FF 7FF 0 0 7FF 
15B 20 E 7FC 7FC 0 3 7FF 7FF 0 0 7FE 0 0 0 7FF 
159 1F E 7FC 7FB 0 2 0 7FF 1 1 7FF 7FF 0 0 7FF 
15B 20 D 7FB 7FB 0 1 7FF 0 7FF 1 7FE 0 0 0 7FF 
15A 20 D 7FB 7FC 7FF 2 0 1 7FF 7FF 7FF 7FF 0 0 7FF 
15A 20 D 7FB 7FB 0 2 0 1 7FF 0 7FF 7FF 1 0 7FF 
15D 21 C 7FB 7FB 1 2 0 0 0 0 7FF 7FF 0 7FF 7FF 
15E 20 D 7FC 7FC 0 1 7FF 0 0 0 7FF 7FF 0 0 7FF 
15D 21 E 7FB 7FA 0 1 0 7FF 1 0 7FF 0 0 7FF 7FF 
15D 20 D 7FB 7FB 0 1 7FF 0 0 0 7FF 7FE 1 0 7FF 
15D 21 F 7FC 7FB 0 2 7FF 0 0 0 7FF 7FF 1 0 7FF 
157 21 E 7FC 7FC 0 1 7FF 0 7FF 0 7FE 0 0 0 7FF 
154 21 E 7FC 7FD 0 3 7FF 0 0 0 7FF 0 0 7FF 7FF 
157 21 D 7FC 7FC 7FF 3 7FF 0 0 0 0 0 0 0 0 
159 20 D 7FB 7FB 7FF 2 0 0 0 0 7FF 0 0 0 7FF 
15C 20 D 7FD 7FB 0 2 0 0 0 0 7FF 7FF 0 0 7FF 
131 B 9 7FD 7FB 7FE 1 1 0 0 7FF 7FF 7FF 0 0 0 
131 B 8 7FD 7FB 7FE 1 0 0 0 7FF 7FF 7FF 7FF 7FF 7FF 
131 C 8 7FE 7FB 7FE 1 7FF 7FF 0 7FF 7FF 7FF 0 7FF 0 
131 B 7 7FD 7FB 7FE 0 0 7FF 0 0 7FF 0 7FF 7FF 0 
131 B 7 7FC 7FC 7FF 1 0 7FF 7FF 7FF 7FF 7FF 7FF 7FE 0 
131 B 7 7FD 7FB 7FE 1 0 7FF 7FF 0 0 7FF 0 7FF 7FF 
131 C 6 7FB 7FB 7FF 1 1 0 7FE 0 0 7FF 7FF 7FF 0 
131 D 7 7FB 7FC 7FE 1 0 7FF 7FF 7FF 0 7FF 0 7FF 0 
130 D 7 7FC 7FC 7FE 0 1 0 0 0 7FE 7FF 7FF 7FF 7FF 
12F D 7 7FC 7FC 7FF 1 0 7FF 7FF 0 7FF 7FF 7FF 7FF 0 
12F E 7 7FC 7FC 7FF 1 0 7FF 0 0 0 0 0 7FF 0 
12E C 6 7FC 7FC 0 0 0 0 0 0 1 7FF 7FF 0 0 
12C B 4 7FD 7FD 1 0 7FE 0 0 7FF 7FF 7FF 7FF 7FF 0 
12D C 5 7FB 7FC 1 7FF 0 1 1 0 7FF 0 0 0 0 
12D D 6 7FB 7FD 0 7FF 7FE 1 0 7FF 7FF 0 7FF 0 0 
12E F 6 7FC 7FD 7FF 7FF 7FE 0 0 7FF 7FF 7FF 7FF 7FF 0 
181 7D4 7FA 7FA 0 7FF 0 7FF 0 0 7FF 0 0 7FF 0 0 
183 7D4 7F9 7FC 7FF 7FE 0 1 0 0 7FF 0 7FF 7FF 0 7FF 
186 7D3 7F7 7FB 7FF 7FE 0 7FF 0 0 0 0 7FF 7FF 0 0 
189 7D3 7F8 7FB 0 7FE 0 1 7FF 0 0 0 0 7FE 0 0 
18D 7D4 7F7 7FA 0 7FF 0 7FF 0 0 7FF 0 7FF 7FF 0 0 
18F 7D5 7F7 7FB 7FF 7FE 0 0 0 0 7FF 1 7FF 7FF 0 0 
190 7D5 7F5 7F9 7FD 7FD 0 0 0 7FF 7FF 7FF 0 7FE 0 0 
191 7D4 7F5 7F9 7FD 7FD 0 1 0 0 7FF 7FF 7FF 0 7FF 0 
193 7D3 7F6 7FA 7FD 7FE 0 0 0 0 7FF 0 7FF 7FF 1 0 
196 7D0 7F5 7FA 7FE 7FF 0 1 1 7FF 0 0 7FE 7FE 0 7FF 
198 7D0 7F4 7FA 7FE 7FF 1 0 0 0 0 0 7FF 7FF 7FF 0 
198 7D1 7F6 7F7 7FC 7FD 0 7FE 7FE 7FF 7FF 0 0 7FF 0 0 
199 7D2 7F5 7F8 7FB 7FB 7FE 7FF 7FE 7FE 7FE 7FF 7FF 7FF 0 0 
199 7D2 7F5 7F8 7FC 7FC 7FE 7FE 7FE 7FE 7FE 0 7FF 0 7FF 7FF 
19C 7CF 7F5 7F8 7FD 7FC 7FF 7FE 7FE 7FE 7FE 0 7FF 7FF 0 0 
19B 7D0 7F5 7F8 7FC 7FC 7FF 7FE 7FE 7FD 7FF 0 7FF 7FF 0 0 
15D 42 19 7F5 7FA 7FC 7FE 0 7FF 7FF 1 7FF 7FF 7FF 7FF 0 
160 41 19 7F6 7F9 7FC 7FF 7FF 0 7FE 0 7FF 7FF 7FF 7FF 0 
162 41 18 7F5 7F9 7FC 7FE 7FF 0 7FF 0 0 7FF 7FF 7FF 7FF 
165 43 18 7F6 7F9 7FC 7FF 0 0 7FF 1 7FF 7FF 0 7FF 0 
168 42 17 7F6 7F9 7FC 7FE 7FF 1 7FF 1 7FF 7FF 7FF 7FF 0 
169 41 16 7F7 7F9 7FB 7FF 0 0 7FF 1 7FF 7FF 0 0 0 
16C 42 14 7F6 7F8 7FB 7FE 7FE 0 7FF 1 7FF 7FF 7FF 7FF 0 
16D 44 14 7F6 7F9 7FB 7FE 7FE 0 7FF 0 0 7FF 0 7FF 0 
16E 43 15 7F7 7F8 7FB 7FF 7FF 0 7FE 1 0 7FE 0 0 0 
172 44 15 7F6 7F8 7FB 7FF 7FF 0 7FE 1 7FF 7FF 0 0 1 
173 44 16 7F7 7F9 7FD 7FF 7FF 7FF 7FF 1 7FF 7FF 7FF 7FF 0 
